trip_id,arrival_time,departure_time,stop_id,stop_sequence
222208TFTrpWD01,09:05:00,09:05:00,n7137_1,1
222208TFTrpWD01,09:05:00,09:05:00,n6151_2,2
222208TFTrpWD01,09:07:00,09:07:00,n6153_1,3
222208TFTrpWD01,09:08:00,09:08:00,n6155_1,4
222208TFTrpWD01,09:09:00,09:09:00,n6157_1,5
222208TFTrpWD01,09:10:00,09:10:00,n9053_2,6
222208TFTrpWD01,09:12:00,09:12:00,n9055_2,7
222208TFTrpWD01,09:13:00,09:13:00,n9057_2,8
222208TFTrpWD01,09:18:00,09:18:00,n7005_2,9
222208TFTrpWD01,09:19:00,09:19:00,n7009_2,10
222208TFTrpWD01,09:20:00,09:20:00,n9059_2,11
222208TFTrpWD01,09:21:00,09:21:00,n9061_2,12
222208TFTrpWD01,09:22:00,09:22:00,n9063_2,13
222208TFTrpWD01,09:24:00,09:24:00,n7017_2,14
222208TFTrpWD01,09:25:00,09:25:00,n9065_2,15
222208TFTrpWD01,09:26:00,09:26:00,n9067_2,16
222208TFTrpWD01,09:28:00,09:28:00,n9069_2,17
222208TFTrpWD01,09:30:00,09:30:00,n6169_1,18
222208TFTrpWD01,09:36:00,09:36:00,n6171_1,19
222208TFTrpWD01,09:37:00,09:37:00,n6169_2,20
222208TFTrpWD01,09:39:00,09:39:00,n7205_2,21
222208TFTrpWD01,09:40:00,09:40:00,n7227_2,22
222208TFTrpWD01,09:42:00,09:42:00,n9071_2,23
222208TFTrpWD01,09:43:00,09:43:00,n7203_2,24
222208TFTrpWD01,09:43:00,09:43:00,n7201_2,25
222208TFTrpWD01,09:44:00,09:44:00,n7199_2,26
222208TFTrpWD01,09:45:00,09:45:00,n7197_2,27
222208TFTrpWD01,09:46:00,09:46:00,n7195_4,28
222208TFTrpWD01,09:47:00,09:47:00,n7193_2,29
222208TFTrpWD01,09:48:00,09:48:00,n7191_2,30
222208TFTrpWD01,09:49:00,09:49:00,n7189_2,31
222208TFTrpWD01,09:50:00,09:50:00,n7139_2,32
222208TFTrpWD01,09:55:00,09:55:00,n7137_1,33
22220-8TMTrpW03,13:00:00,13:00:00,n7137_1,1
22220-8TMTrpW03,13:00:00,13:00:00,n7139_1,2
22220-8TMTrpW03,13:01:00,13:01:00,n7189_1,3
22220-8TMTrpW03,13:02:00,13:02:00,n7191_1,4
22220-8TMTrpW03,13:03:00,13:03:00,n7193_1,5
22220-8TMTrpW03,13:03:00,13:03:00,n9031_2,6
22220-8TMTrpW03,13:04:00,13:04:00,n9033_2,7
22220-8TMTrpW03,13:06:00,13:06:00,n6157_2,8
22220-8TMTrpW03,13:07:00,13:07:00,n6155_2,9
22220-8TMTrpW03,13:08:00,13:08:00,n6153_2,10
22220-8TMTrpW03,13:09:00,13:09:00,n9035_2,11
22220-8TMTrpW03,13:10:00,13:10:00,n6863_2,12
22220-8TMTrpW03,13:14:00,13:14:00,n9037_2,13
22220-8TMTrpW03,13:14:00,13:14:00,n9039_2,14
22220-8TMTrpW03,13:15:00,13:15:00,n9041_2,15
22220-8TMTrpW03,13:16:00,13:16:00,n9043_2,16
22220-8TMTrpW03,13:18:00,13:18:00,n9045_2,17
22220-8TMTrpW03,13:23:00,13:23:00,n6725_2,18
22220-8TMTrpW03,13:24:00,13:24:00,n9047_2,19
22220-8TMTrpW03,13:27:00,13:27:00,n9073_2,20
22220-8TMTrpW03,13:28:00,13:28:00,n6137_2,21
22220-8TMTrpW03,13:29:00,13:29:00,n6143_2,22
22220-8TMTrpW03,13:30:00,13:30:00,n6147_2,23
22220-8TMTrpW03,13:31:00,13:31:00,n6149_2,24
22220-8TMTrpW03,13:35:00,13:35:00,n7137_1,25
222208TMTrp03e,11:25:00,11:25:00,n7137_1,1
222208TMTrp03e,11:25:00,11:25:00,n6151_1,2
222208TMTrp03e,11:26:00,11:26:00,n6149_1,3
222208TMTrp03e,11:27:00,11:27:00,n6147_1,4
222208TMTrp03e,11:29:00,11:29:00,n6143_1,5
