stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
n9073_1,南小学校前,すそのーる,35.15615111,138.9053972,,0,n9073,0
n9039_1,富沢中,すそのーる,35.16641667,138.9013166,,0,n9039,0
n9043_2,富沢南,すそのーる,35.16103056,138.8992461,,0,n9043,0
n9047_2,伊水橋,すそのーる,35.15406111,138.9034889,,0,n9047,0
n6147_2,平松,すそのーる,35.1673474,138.9068143,,0,n6147,0
n7201_1,町田下,すそのーる,35.19082306,138.918075,,0,n7201,0
n9049_2,道上,すそのーる,35.1710178,138.9200933,,0,n9049,0
n6137,麦塚口,すそのーる,35.15914273,138.9075748,,1,,0
n7153_1,裾野東中学校入口,すそのーる,35.177598,138.920265,,0,n7153,0
n7227_1,南堀下,すそのーる,35.19431694,138.9221028,,0,n7227,0
n9051_1,三菱アルミ,すそのーる,35.16444722,138.9084169,,0,n9051,0
n6139,麦塚,すそのーる,35.16584991,138.9145149,,1,,0
n7175,鈴原入口,すそのーる,35.17392306,138.9237061,,1,,0
n6147,平松,すそのーる,35.16742963,138.9069496,,1,,0
n9065_2,御宿上谷,すそのーる,35.20083333,138.907775,,0,n9065,0
n7195_4,裾野市民体育館前,すそのーる,35.17949694,138.9129489,,0,n7195,0
n7153,裾野東中学校入口,すそのーる,35.178025,138.9201969,,1,,0
n9031,裾野郵便局前,すそのーる,35.18020952,138.9112164,,1,,0
n9043,富沢南,すそのーる,35.16098067,138.8992823,,1,,0
n9073,南小学校前,すそのーる,35.15618922,138.9054445,,1,,0
n6863_2,桃園,すそのーる,35.17113611,138.9022061,,0,n6863,0
n6171_1,裾野市民文化センター,すそのーる,35.19803611,138.9138944,,0,n6171,0
n9069_1,福祉保健会館前,すそのーる,35.19531944,138.9111631,,0,n9069,0
n9067_2,御宿八幡宮前,すそのーる,35.20053111,138.9108731,,0,n9067,0
n7191,市立鈴木図書館入口,すそのーる,35.1759379,138.9101275,,1,,0
n6153,裾野二本松,すそのーる,35.17353928,138.9057695,,1,,0
n9061,富岡中学校グランド入口,すそのーる,35.19797177,138.9038584,,1,,0
n9047_1,伊水橋,すそのーる,35.15395111,138.9034889,,0,n9047,0
n9031_1,裾野郵便局前,すそのーる,35.18026111,138.9111181,,0,n9031,0
n7005_1,千福,すそのーる,35.19152111,138.9068911,,0,n7005,0
n6145,本茶,すそのーる,35.16845136,138.9173732,,1,,0
n7193,裾野赤十字病院,すそのーる,35.17891653,138.9115753,,1,,0
n9037,富沢上,すそのーる,35.16836724,138.9013244,,1,,0
n7189_1,平松上,すそのーる,35.17401389,138.9091189,,0,n7189,0
n9049_1,道上,すそのーる,35.1712019,138.9200924,,0,n9049,0
n9041_2,富沢,すそのーる,35.16481111,138.9001769,,0,n9041,0
n6725_2,水窪,すそのーる,35.15524694,138.9019469,,0,n6725,0
n6143_2,三菱前,すそのーる,35.16371111,138.9073181,,0,n6143,0
n7205_1,和市,すそのーる,35.19527389,138.9188231,,0,n7205,0
n7199_2,久根,すそのーる,35.18778194,138.9166261,,0,n7199,0
n6139_1,麦塚,すそのーる,35.16587389,138.9145969,,0,n6139,0
n6141_1,奥平松,すそのーる,35.1650217,138.9116153,,0,n6141,0
n6145_2,本茶,すそのーる,35.1684403,138.9174658,,0,n6145,0
n9049,道上,すそのーる,35.17120193,138.9200924,,1,,0
n9045,新愛鷹橋,すそのーる,35.15691656,138.9001402,,1,,0
n7205,和市,すそのーる,35.19535521,138.9186427,,1,,0
n6153_1,裾野二本松,すそのーる,35.17346194,138.9057311,,0,n6153,0
n7189,平松上,すそのーる,35.17397034,138.9092114,,1,,0
n7149,稲荷,すそのーる,35.17870055,138.9154981,,1,,0
n7177_2,鈴原,すそのーる,35.174675,138.9247589,,0,n7177,0
n9043_1,富沢南,すそのーる,35.16103056,138.8992823,,0,n9043,0
n9059_1,御宿平山湧水,すそのーる,35.19642306,138.9071361,,0,n9059,0
n7227_2,南堀下,すそのーる,35.19437389,138.9222111,,0,n7227,0
n7179,県営茶畑団地西,すそのーる,35.17586086,138.9264474,,1,,0
n9059,御宿平山湧水,すそのーる,35.19644512,138.9071348,,1,,0
n7151_1,公文名公民館前,すそのーる,35.1785395,138.918119,,0,n7151,0
n6153_3,裾野二本松,すそのーる,35.173001,138.906446,,0,n6153,0
n9061_2,富岡中学校グランド入口,すそのーる,35.19804444,138.9037333,,0,n9061,0
n9051_2,三菱アルミ,すそのーる,35.1643839,138.9082927,,0,n9051,0
n9063,富岡中学校前,すそのーる,35.20016211,138.9029717,,1,,0
n7187,青葉台団地,すそのーる,35.1798619,138.9346917,,1,,0
n9041_1,富沢,すそのーる,35.16481111,138.9001386,,0,n9041,0
n7203_1,町田,すそのーる,35.19285278,138.9181211,,0,n7203,0
n7203_2,町田,すそのーる,35.19262694,138.9182131,,0,n7203,0
n6139_2,麦塚,すそのーる,35.1657459,138.9146223,,0,n6139,0
n6863,桃園,すそのーる,35.17112156,138.9022816,,1,,0
n9041,富沢,すそのーる,35.16483514,138.9001386,,1,,0
n9047,伊水橋,すそのーる,35.15395705,138.9034733,,1,,0
n9055,中央公園前,すそのーる,35.18480372,138.9042407,,1,,0
n9071,町田東,すそのーる,35.19275466,138.9214316,,1,,0
n7153_2,裾野東中学校入口,すそのーる,35.178052,138.920197,,0,n7153,0
n7137_1,裾野駅,すそのーる,35.17197389,138.9093781,,0,n7137,0
n6157_2,佐野,すそのーる,35.1805741,138.9063104,,0,n6157,0
n9045_2,新愛鷹橋,すそのーる,35.156802,138.900347,,0,n9045,0
n6137_2,麦塚口,すそのーる,35.15913806,138.9074556,,0,n6137,0
