route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
222208TM,22220-8WD,22220-8TMTrp01,東回り,1便,0,5643440998055936
222208CH,22220-8WD,22220-8CHTrpW05,西回り,5便,1,5747976207073280
222208CH,22220-8WE,222208CHTrpW03e,西回り,3便,1,5747976207073280
222208TF,22220-8WD,222208TFTrpE02,東回り,2便,0,5661458385862656
222208TF,22220-8WE,222208TFTrpE04d,東回り,4便,0,5661458385862656
222208TF,22220-8WD,222208TFTrpWD02,西回り,2便,1,5728116278296576
222208CH,22220-8WD,22220-8CHTrpW03,西回り,3便,1,5747976207073280
222208AD,22220-8WD,222208ADTrpW01,裾野駅行き,1便,0,5704837555552256
222208TF,22220-8WD,222208TFTrpWD04,西回り,4便,1,5728116278296576
222208TM,22220-8WD,22220-8TMTrpW04,西回り,W4便,1,5709068098338816
222208CH,22220-8WD,22220-8CHTrpW01,西回り,1便,1,5747976207073280
222208CH,22220-8WE,222208CHTrpEE03,東回り,3便,0,5681717746597888
222208TM,22220-8WE,222208TMTrp05e,東回り,5便,0,5643440998055936
222208CH,22220-8WE,222208CHTrpEE01,東回り,1便,0,5681717746597888
222208TM,22220-8WD,22220-8TMTrpW01,西回り,W1便,1,5709068098338816
222208TM,22220-8WE,222208TMTrpW01e,西回り,1便,1,5709068098338816
222208CH,22220-8WE,222208CHTrpEE04,東回り,4便,0,5681717746597888
222208TM,22220-8WE,222208TMTrpW03e,西回り,3便,1,5709068098338816
222208TM,22220-8WD,22220-8TMTrp05,東回り,5便,0,5643440998055936
222208TF,22220-8WE,222208TFTrpE01d,東回り,1便,0,5661458385862656
222208TF,22220-8WE,222208TFTrpE03d,東回り,3便,0,5661458385862656
222208AD,22220-8WD,222208ADTrpE01,青葉台行き,1便,1,5631943370604544
222208CH,22220-8WD,22220-8CHTrpE02,東回り,2便,0,5681717746597888
222208CH,22220-8WE,222208CHTrpW04e,西回り,4便,1,5747976207073280
222208TF,22220-8WD,222208TFTrpWD03,西回り,3便,1,5728116278296576
222208CH,22220-8WE,222208CHTrpW02e,西回り,2便,1,5747976207073280
222208TF,22220-8WE,222208TFTrpWE02,西回り,2便,1,5728116278296576
222208TM,22220-8WD,22220-8TMTrpW05,西回り,W5便,1,5709068098338816
222208TM,22220-8WD,22220-8TMTrp03,東回り,3便,0,5643440998055936
222208CH,22220-8WD,22220-8CHTrpE03,東回り,3便,0,5681717746597888
222208TF,22220-8WE,222208TFTrpWE01,西回り,1便,1,5728116278296576
222208TM,22220-8WD,22220-8TMTrpW02,西回り,W2便,1,5709068098338816
222208TM,22220-8WE,222208TMTrpW05e,西回り,5便,1,5709068098338816
222208CH,22220-8WD,22220-8CHTrpW04,西回り,4便,1,5747976207073280
222208TF,22220-8WD,222208TFTrpWD01,西回り,1便,1,5728116278296576
222208TM,22220-8WD,22220-8TMTrpW03,西回り,W3便,1,5709068098338816
222208TM,22220-8WE,222208TMTrp03e,東回り,3便,0,5643440998055936
222208TM,22220-8WD,22220-8TMTrp02,東回り,2便,0,5643440998055936
222208TM,22220-8WD,22220-8TMTrp04,東回り,4便,0,5643440998055936
222208TF,22220-8WD,222208TFTrpE04,東回り,4便,0,5661458385862656
222208CH,22220-8WD,22220-8CHTrpW02,西回り,2便,1,5747976207073280
222208TF,22220-8WD,222208TFTrpE03,東回り,3便,0,5661458385862656
222208CH,22220-8WD,22220-8CHTrpE01,東回り,1便,0,5681717746597888
222208CH,22220-8WD,22220-8CHTrpE04,東回り,4便,0,5681717746597888
222208TF,22220-8WE,222208TFTrpWE03,西回り,3便,1,5728116278296576
222208TF,22220-8WD,222208TFTrpE01,東回り,1便,0,5661458385862656
